"id","tot01Cln","tot06Cln","tot11Cln","totChange.06","engChange.06","forChange.06","totChange.11","engChange.11","forChange.11","relevant"
120021389,10986,11404,12240,3.8,3.66,0.15,11.41,10.18,1.24,0
120031390,19415,19923,21181,2.62,-1.44,4.06,9.1,-0.37,9.47,0
120031391,17538,18432,19913,5.1,-1.94,7.04,13.54,-1.57,15.11,0
120031392,8731,8532,9013,-2.28,2.31,-4.59,3.23,8.51,-5.28,0
120031393,14730,14864,15589,0.91,0.39,0.52,5.83,3.12,2.71,0
120031394,14546,13701,14603,-5.81,3.73,-9.54,0.39,11.22,-10.83,0
120031395,12170,11869,12486,-2.47,2.09,-4.56,2.6,8.04,-5.45,0
120031396,6721,9065,11240,34.88,6.4,28.48,67.24,8.18,59.05,0
120031397,22293,23865,24288,7.05,-2.66,9.72,8.95,-6.62,15.57,0
121011398,18130,21211,22958,16.99,0.79,16.2,26.63,-1.25,27.88,0
121011399,15163,15312,17281,0.98,-2.51,3.5,13.97,0.28,13.69,0
121011400,22651,22432,23514,-0.97,-1.41,0.44,3.81,1.16,2.65,0
121011401,6340,7577,9189,19.51,9.92,9.59,44.94,22.73,22.21,0
121011402,21473,22176,23121,3.27,3.19,0.08,7.67,6.33,1.35,0
121021403,16929,16895,17071,-0.2,-1.12,0.92,0.84,-2.51,3.35,0
121021404,10653,10405,10935,-2.33,-2.15,-0.18,2.65,1.03,1.61,0
121021405,21886,25182,28045,15.06,3.1,11.96,28.14,0.15,28,0
121021406,15966,16954,17281,6.19,1.51,4.68,8.24,0.58,7.65,0
121031407,16384,16061,17928,-1.97,-4.13,2.16,9.42,-1.56,10.98,0
121031408,19479,19512,20055,0.17,-0.67,0.84,2.96,-2.42,5.38,0
121031409,13800,13848,15032,0.35,-2.03,2.38,8.93,0.18,8.75,0
121031410,16384,16433,17840,0.3,0.02,0.28,8.89,4.19,4.7,0
121031411,16317,16319,17235,0.01,-1.08,1.1,5.63,0.59,5.04,0
121031412,15336,14962,16749,-2.44,-3.73,1.29,9.21,1.49,7.72,0
121041413,15226,15348,16460,0.8,-0.72,1.52,8.1,3.71,4.39,0
121041414,14280,14374,15478,0.66,-1.97,2.63,8.39,1.03,7.36,0
121041415,24222,24017,25239,-0.85,-1.97,1.12,4.2,0.05,4.14,0
121041416,14160,14106,15075,-0.38,-3.11,2.73,6.46,-0.96,7.42,0
121041417,7038,7477,8845,6.24,2.46,3.78,25.67,13.38,12.29,0
122011418,16230,16410,18118,1.11,0.76,0.35,11.63,8.61,3.02,0
122011419,17381,17196,19083,-1.06,-2.71,1.65,9.79,4.95,4.84,0
122021420,11223,10945,11303,-2.48,-2.16,-0.32,0.71,0.26,0.45,0
122021421,9375,9036,9655,-3.62,-3.15,-0.47,2.99,1.63,1.35,0
122021422,11379,11288,12029,-0.8,-0.94,0.14,5.71,4.78,0.93,0
122021423,17381,18576,20799,6.88,5.98,0.9,19.67,16.98,2.68,0
122031424,10857,11166,12492,2.85,1.82,1.02,15.06,10.63,4.43,0
122031425,6731,6923,7097,2.85,3.11,-0.25,5.44,3.71,1.72,0
122031426,17363,18366,21462,5.78,3.87,1.91,23.61,13.34,10.27,0
122031427,10982,11450,11799,4.26,3.21,1.06,7.44,3.9,3.54,0
122031428,22127,22764,23312,2.88,1.4,1.48,5.36,3.59,1.77,0
122031429,16739,17280,18079,3.23,3.11,0.13,8.01,6.34,1.66,0
122031430,14377,14688,15184,2.16,1.82,0.35,5.61,3.96,1.65,0
122031431,19439,20601,20993,5.98,5.26,0.72,7.99,5.78,2.21,0
122031432,3395,3150,3382,-7.22,-7.19,-0.03,-0.38,-1.35,0.97,0
123011433,9845,10151,11631,3.11,2.3,0.81,18.14,16,2.14,0
123011434,9443,12302,15584,30.28,26,4.28,65.03,55.18,9.85,0
123011435,17609,20377,23164,15.72,13.69,2.03,31.55,25.93,5.62,0
123021436,17663,17349,18216,-1.78,-1.96,0.19,3.13,1.21,1.92,0
123021437,12090,13775,15398,13.94,6.2,7.73,27.36,14.38,12.99,0
123021438,20948,19935,19722,-4.84,-4.6,-0.23,-5.85,-5.65,-0.21,0
123021439,0,0,0,0,0,0,0,0,0,1
123021440,15098,15028,15919,-0.46,-5.27,4.81,5.44,-6.9,12.34,0
123021441,15356,14549,15256,-5.26,-6.94,1.68,-0.65,-5.34,4.69,0
123021442,19335,17847,19680,-7.7,-10.06,2.37,1.78,-10.52,12.3,0
123021443,18078,17579,16662,-2.76,-6.55,3.79,-7.83,-15.27,7.44,0
123021444,19821,19437,18845,-1.94,-2.47,0.53,-4.92,-6.44,1.52,0
123031446,6202,6653,6789,7.27,5.84,1.44,9.46,7.67,1.79,0
123031447,12719,13868,14458,9.03,9.14,-0.11,13.67,13.74,-0.06,0
123031448,7293,7608,8130,4.32,3.99,0.33,11.48,10.56,0.92,0
124011449,4925,4728,4797,-4,-3.86,-0.14,-2.6,-2.8,0.2,0
124011450,17944,17582,17865,-2.02,-2.36,0.34,-0.44,-0.99,0.55,0
124011451,0,0,26,0,0,0,0,0,0,1
124011452,12403,11720,11857,-5.51,-5.2,-0.31,-4.4,-4.6,0.19,0
124011453,9950,10017,10432,0.67,0.87,-0.2,4.84,4.05,0.79,0
124011454,20474,20819,21050,1.69,1.09,0.59,2.81,1.82,1,0
124011455,5188,5272,5374,1.62,1.99,-0.37,3.59,3.18,0.4,0
124021456,0,0,7,0,0,0,0,0,0,1
124031457,15409,14782,14551,-4.07,-4.18,0.11,-5.57,-5.81,0.25,0
124031458,15193,15320,16607,0.84,0.62,0.22,9.31,7.84,1.47,0
124031459,13237,13034,13288,-1.53,-0.85,-0.68,0.39,0.73,-0.34,0
124031460,16771,19271,20225,14.91,12.03,2.88,20.6,15.82,4.77,0
124031461,16283,15705,16046,-3.55,-2.7,-0.85,-1.46,-1.57,0.12,0
124031462,14674,14779,16492,0.72,-0.05,0.77,12.39,5.59,6.8,0
124031463,6025,6274,6286,4.13,3.07,1.06,4.33,4.07,0.27,0
124031464,10758,10699,11120,-0.55,-0.93,0.38,3.36,0.21,3.15,0
124031465,4313,4536,4814,5.17,4.54,0.63,11.62,10.53,1.09,0
124041466,12579,12226,12955,-2.81,-2.75,-0.06,2.99,2.36,0.63,0
124041467,14884,14395,14969,-3.29,-2.78,-0.5,0.57,0.17,0.4,0
124041468,5604,5989,5820,6.87,6.21,0.66,3.85,4.28,-0.43,0
124051469,6736,6679,6384,-0.85,0.92,-1.77,-5.23,-1.72,-3.5,0
124051470,20256,19396,19170,-4.25,-4.01,-0.24,-5.36,-5.96,0.6,0
124051471,22287,21934,24050,-1.58,-2.05,0.46,7.91,3.15,4.76,0
125011472,24461,27165,30527,11.05,-2.58,13.64,24.8,-3.44,28.24,0
125011473,2442,6506,9553,166.42,77.56,88.86,291.2,139.31,151.88,0
125011474,24671,24746,28232,0.3,-3.72,4.02,14.43,-5.52,19.95,0
