"SA2_MAIN","SA2_NAME","totPop","engOnly","notStated","foreign","forPC","bucket"
120021389,"Lilyfield - Rozelle",13018,10401,718,1899,0.154390243902439,2
124011452,"Katoomba - Leura",12920,10841,1106,973,0.0823599119688505,2
122021422,"Newport - Bilgola",12899,11468,616,815,0.0663518684360498,1
119031370,"Narwee - Beverly Hills",12762,4905,835,7022,0.588748218328163,6
102011039,"Terrigal - North Avoca",12564,11176,687,701,0.0590216384608908,1
120031396,"Homebush",12519,3003,1170,8346,0.735395189003436,6
115011296,"West Pennant Hills",12445,8001,213,4231,0.345896010464356,4
122031427,"Forestville - Killarney Heights",12288,9291,334,2663,0.222770620712732,3
103031070,"Lithgow",12249,10945,913,391,0.0344918842625265,1
122021420,"Avalon - Palm Beach",12198,11128,421,649,0.0551074127536724,1
123011433,"Camden - Ellis Lane",12134,11255,375,504,0.0428607874819287,1
119041377,"Kingsgrove (South) - Bardwell Park",12009,5023,468,6518,0.564769084134824,5
126021501,"North Ryde - East Ryde",11977,7702,513,3762,0.328157711095604,4
119031371,"Oatley - Hurstville Grove",11946,7983,372,3591,0.310264385692068,4
124031464,"Penrith",11813,9410,796,1607,0.145865480620859,2
118011346,"Rose Bay - Vaucluse - Watsons Bay",11713,9087,847,1779,0.163721700717835,2
121021404,"Berowra - Brooklyn - Cowan",11395,10318,278,799,0.0718719078888189,2
125011473,"Homebush Bay - Silverwater",11308,4285,2094,4929,0.534946820056436,5
116021312,"Riverstone - Marsden Park",11236,9180,521,1535,0.143257116192254,2
102011043,"Wyoming",11190,10102,427,661,0.0614141038743845,1
124011453,"Lawson - Hazelbrook - Linden",11081,10106,399,576,0.053922486425763,1
128021534,"Illawong - Alfords Point",10638,7916,257,2465,0.237453039206242,3
127021520,"St Johns Park - Wakeley",10633,2207,252,8174,0.7874000577979,6
117011323,"Pagewood - Hillsdale - Daceyville",10589,5352,500,4737,0.469521260779066,5
118011344,"Dover Heights",10423,7632,505,2286,0.23049001814882,3
125041494,"Winston Hills",10367,7632,325,2410,0.23999203345947,3
102011029,"Box Head - MacMasters Beach",10337,9593,442,302,0.0305204648812532,1
122021421,"Bayview - Elanora Heights",10206,9140,324,742,0.0750860149767254,2
119011356,"Condell Park",10186,3156,649,6381,0.669078326517773,6
117031329,"Darlinghurst",10060,6807,1362,1891,0.217406300298919,3
127011505,"Badgerys Creek - Greendale",9877,5557,753,3567,0.39094695309075,4
126021499,"Hunters Hill - Woolwich",9805,7815,343,1647,0.174064679771718,3
119041378,"Kogarah",9607,3121,586,5900,0.654029486753132,6
121041417,"North Sydney - Lavender Bay",9513,6315,1032,2166,0.255394411036434,4
119031373,"Riverwood",9456,3375,791,5290,0.610502019619158,6
127021514,"Edensor Park",9439,2883,279,6277,0.685262008733624,6
120031392,"Canterbury (North) - Ashbury",9379,4909,353,4117,0.456126744959007,5
121011401,"St Leonards - Naremburn",9264,5768,551,2945,0.338000688626191,4
102011041,"Wamberal - Forresters Beach",9089,8403,338,348,0.0397668837847103,1
115041301,"Pitt Town - McGraths Hill",9014,8045,301,668,0.0766670492367726,2
117011321,"Botany",8884,6230,495,2159,0.257360829657885,4
123031448,"The Oaks - Oakdale",8564,7799,311,454,0.0550102992851084,1
107041147,"Helensburgh",8456,7847,313,296,0.036350239469483,1
116031314,"Glendenning Dean Park",8130,4543,276,3311,0.42156862745098,5
102011036,"Niagara Park - Lisarow",8051,7467,266,318,0.0408477842003854,1
103031071,"Lithgow Region",7897,7334,361,202,0.0268046709129512,1
127021517,"Greenfield Park - Prairiewood",7762,1951,210,5601,0.741657838983051,6
125041490,"North Rocks",7627,5211,171,2245,0.301099785407725,4
122031425,"Cromer",7208,6166,177,865,0.123026596501209,2
117021328,"Sydenham - Tempe - St Peters",7191,4562,574,2055,0.310563699561735,4
118011347,"Woollahra",7181,5787,579,815,0.123447440169646,2
102011034,"Kincumber - Picketts Valley",7109,6662,220,227,0.0329510814341704,1
123031446,"Douglas Park - Appin",7063,6464,211,388,0.0566258026853473,1
102011028,"Avoca Beach - Copacabana",7009,6415,306,288,0.0429658361927495,1
124041468,"Yarramundi - Londonderry",6846,5305,933,608,0.102824285472687,2
124051469,"Erskine Park",6668,5133,238,1297,0.201710730948678,3
102011038,"Saratoga - Davistown",6636,6265,192,179,0.0277777777777778,1
124031463,"Mulgoa - Luddenham - Orchard Hills",6518,5365,229,924,0.146923199236763,2
102011035,"Narara",6493,5919,191,383,0.060774357346874,1
128021533,"Heathcote - Waterfall",6458,6099,116,243,0.0383159886471145,1
102011033,"Kariong",6452,5822,194,436,0.0696708213486737,1
127011506,"Cobbitty - Leppington",6412,4291,538,1583,0.269492679605039,4
102011037,"Point Clare - Koolewong",6313,5547,418,348,0.0590330788804071,1
124011455,"Wentworth Falls",5935,5158,425,352,0.0638838475499093,1
115011294,"Glenhaven",5830,5005,157,668,0.117750749162701,2
124011449,"Blackheath - Megalong Valley",5462,4540,671,251,0.0523898977249009,1
