SA2_MAIN,SA2_NAME,STATE_CODE,STATE_NAME,AREA_SQKM
126021497,Eastwood - Denistone,1,New South Wales,7.81958522
126021498,Gladesville - Huntleys Point,1,New South Wales,4.715850514
126021499,Hunters Hill - Woolwich,1,New South Wales,4.151408689
126021500,Macquarie Park - Marsfield,1,New South Wales,10.67254863
126021501,North Ryde - East Ryde,1,New South Wales,6.22272271
126021502,Ryde - Putney,1,New South Wales,8.786874205
126021503,West Ryde - Meadowbank,1,New South Wales,4.791858662
127011504,Ashcroft - Busby - Miller,1,New South Wales,5.462582457
127011505,Badgerys Creek - Greendale,1,New South Wales,122.2523454
127011506,Cobbitty - Leppington,1,New South Wales,132.3214032
127011507,Green Valley - Cecil Hills,1,New South Wales,12.18277166
127011508,Hoxton Park - Horningsea Park,1,New South Wales,12.65599926
127021509,Bonnyrigg Heights - Bonnyrigg,1,New South Wales,5.188676239
127021510,Bossley Park - Abbotsbury,1,New South Wales,9.520265898
127021511,Cabramatta - Lansvale,1,New South Wales,7.596937901
127021512,Cabramatta West - Mount Pritchard,1,New South Wales,5.343321472
127021513,Canley Vale - Canley Heights,1,New South Wales,5.415666887
127021514,Edensor Park,1,New South Wales,3.095223184
127021515,Fairfield,1,New South Wales,4.230742686
127021516,Fairfield - West,1,New South Wales,4.691202194
127021517,Greenfield Park - Prairiewood,1,New South Wales,3.636696774
127021518,Horsley Park - Kemps Creek,1,New South Wales,56.2819149
127021519,Smithfield - Wetherill Park,1,New South Wales,6.612502839
127021520,St Johns Park - Wakeley,1,New South Wales,3.61060114
127021521,Wetherill Park Industrial,1,New South Wales,8.556692226
127031522,Casula,1,New South Wales,7.071866561
127031523,Chipping Norton - Moorebank,1,New South Wales,14.49026451
127031524,Holsworthy - Wattle Grove,1,New South Wales,73.69991393
127031525,Liverpool - Warwick Farm,1,New South Wales,10.96827407
127031526,Prestons - Lurnea,1,New South Wales,17.59909461
128011527,Caringbah - Lilli Pilli,1,New South Wales,9.334913324
128011528,Cronulla - Kurnell - Bundeena,1,New South Wales,28.4138824
128011529,Gymea - Grays Point,1,New South Wales,5.797514768
128011530,Miranda - Yowie Bay,1,New South Wales,5.996384073
128011531,Sylvania - Taren Point,1,New South Wales,6.072423896
128021532,Engadine - Loftus,1,New South Wales,15.93492438
128021533,Heathcote - Waterfall,1,New South Wales,27.62418268
128021534,Illawong - Alfords Point,1,New South Wales,7.297523989
128021535,Menai - Lucas Heights - Woronora,1,New South Wales,33.40504777
128021536,Oyster Bay - Como - Jannali,1,New South Wales,8.906174252
128021537,Royal National Park,1,New South Wales,139.3473738
128021538,Sutherland - Kirrawee,1,New South Wales,7.755149308
