ColumName,Source,TimePeriod,Gender,Language,Include
SOL_Khmer_C01_F,10A,2001,female,Khmer,YES
SOL_Khmer_C01_P,10A,2001,all,Khmer,YES
SOL_Khmer_C06_M,10A,2006,male,Khmer,YES
SOL_Khmer_C06_F,10A,2006,female,Khmer,YES
SOL_Khmer_C06_P,10A,2006,all,Khmer,YES
SOL_Khmer_C11_M,10A,2011,male,Khmer,YES
SOL_Khmer_C11_F,10A,2011,female,Khmer,YES
SOL_Khmer_C11_P,10A,2011,all,Khmer,YES
SOL_Korean_C01_M,10A,2001,male,Korean,YES
SOL_Korean_C01_F,10A,2001,female,Korean,YES
SOL_Korean_C01_P,10A,2001,all,Korean,YES
SOL_Korean_C06_M,10A,2006,male,Korean,YES
SOL_Korean_C06_F,10A,2006,female,Korean,YES
SOL_Korean_C06_P,10A,2006,all,Korean,YES
SOL_Korean_C11_M,10A,2011,male,Korean,YES
SOL_Korean_C11_F,10A,2011,female,Korean,YES
SOL_Korean_C11_P,10A,2011,all,Korean,YES
SOL_Mac_C01_M,10A,2001,male,Macedonian,YES
SOL_Mac_C01_F,10A,2001,female,Macedonian,YES
SOL_Mac_C01_P,10A,2001,all,Macedonian,YES
SOL_Mac_C06_M,10A,2006,male,Macedonian,YES
SOL_Mac_C06_F,10A,2006,female,Macedonian,YES
SOL_Mac_C06_P,10A,2006,all,Macedonian,YES
SOL_Mac_C11_M,10A,2011,male,Macedonian,YES
SOL_Mac_C11_F,10A,2011,female,Macedonian,YES
SOL_Mac_C11_P,10A,2011,all,Macedonian,YES
SOL_Maltes_C01_M,10A,2001,male,Maltese,YES
SOL_Maltes_C01_F,10A,2001,female,Maltese,YES
SOL_Maltes_C01_P,10A,2001,all,Maltese,YES
SOL_Maltes_C06_M,10A,2006,male,Maltese,YES
SOL_Maltes_C06_F,10A,2006,female,Maltese,YES
SOL_Maltes_C06_P,10A,2006,all,Maltese,YES
SOL_Maltes_C11_M,10A,2011,male,Maltese,YES
SOL_Maltes_C11_F,10A,2011,female,Maltese,YES
SOL_Maltes_C11_P,10A,2011,all,Maltese,YES
SOL_Pe_in_Da_C01_M,10A,2001,male,Persian,YES
SOL_Pe_in_Da_C01_F,10A,2001,female,Persian,YES
SOL_Pe_in_Da_C01_P,10A,2001,all,Persian,YES
SOL_Pe_in_Da_C06_M,10A,2006,male,Persian,YES
SOL_Pe_in_Da_C06_F,10A,2006,female,Persian,YES
SOL_Pe_in_Da_C06_P,10A,2006,all,Persian,YES
SOL_Pe_in_Da_C11_M,10A,2011,male,Persian,YES
SOL_Pe_in_Da_C11_F,10A,2011,female,Persian,YES
SOL_Pe_in_Da_C11_P,10A,2011,all,Persian,YES
SOL_Polish_C01_M,10A,2001,male,Polish,YES
SOL_Polish_C01_F,10A,2001,female,Polish,YES
SOL_Polish_C01_P,10B,2001,all,Polish,YES
SOL_Polish_C06_M,10B,2006,male,Polish,YES
SOL_Polish_C06_F,10B,2006,female,Polish,YES
SOL_Polish_C06_P,10B,2006,all,Polish,YES
SOL_Polish_C11_M,10B,2011,male,Polish,YES
SOL_Polish_C11_F,10B,2011,female,Polish,YES
SOL_Polish_C11_P,10B,2011,all,Polish,YES
SOL_Port_C01_M,10B,2001,male,Portuguese,YES
SOL_Port_C01_F,10B,2001,female,Portuguese,YES
SOL_Port_C01_P,10B,2001,all,Portuguese,YES
SOL_Port_C06_M,10B,2006,male,Portuguese,YES
SOL_Port_C06_F,10B,2006,female,Portuguese,YES
SOL_Port_C06_P,10B,2006,all,Portuguese,YES
SOL_Port_C11_M,10B,2011,male,Portuguese,YES
SOL_Port_C11_F,10B,2011,female,Portuguese,YES
SOL_Port_C11_P,10B,2011,all,Portuguese,YES
SOL_Punjabi_C01_M,10B,2001,male,Punjabi,YES
SOL_Punjabi_C01_F,10B,2001,female,Punjabi,YES
SOL_Punjabi_C01_P,10B,2001,all,Punjabi,YES
SOL_Punjabi_C06_M,10B,2006,male,Punjabi,YES
SOL_Punjabi_C06_F,10B,2006,female,Punjabi,YES
SOL_Punjabi_C06_P,10B,2006,all,Punjabi,YES
SOL_Punjabi_C11_M,10B,2011,male,Punjabi,YES
SOL_Punjabi_C11_F,10B,2011,female,Punjabi,YES
SOL_Punjabi_C11_P,10B,2011,all,Punjabi,YES
SOL_Russian_C01_M,10B,2001,male,Russian,YES
SOL_Russian_C01_F,10B,2001,female,Russian,YES
SOL_Russian_C01_P,10B,2001,all,Russian,YES
SOL_Russian_C06_M,10B,2006,male,Russian,YES
SOL_Russian_C06_F,10B,2006,female,Russian,YES
SOL_Russian_C06_P,10B,2006,all,Russian,YES
SOL_Russian_C11_M,10B,2011,male,Russian,YES
SOL_Russian_C11_F,10B,2011,female,Russian,YES
SOL_Russian_C11_P,10B,2011,all,Russian,YES
SOL_Samoan_C01_M,10B,2001,male,Samoan,YES
SOL_Samoan_C01_F,10B,2001,female,Samoan,YES
SOL_Samoan_C01_P,10B,2001,all,Samoan,YES
SOL_Samoan_C06_M,10B,2006,male,Samoan,YES
SOL_Samoan_C06_F,10B,2006,female,Samoan,YES
SOL_Samoan_C06_P,10B,2006,all,Samoan,YES
SOL_Samoan_C11_M,10B,2011,male,Samoan,YES
SOL_Samoan_C11_F,10B,2011,female,Samoan,YES
SOL_Samoan_C11_P,10B,2011,all,Samoan,YES
SOL_Serbian_C01_M,10B,2001,male,Serbian,YES
SOL_Serbian_C01_F,10B,2001,female,Serbian,YES
SOL_Serbian_C01_P,10B,2001,all,Serbian,YES
SOL_Serbian_C06_M,10B,2006,male,Serbian,YES
SOL_Serbian_C06_F,10B,2006,female,Serbian,YES
SOL_Serbian_C06_P,10B,2006,all,Serbian,YES
SOL_Serbian_C11_M,10B,2011,male,Serbian,YES
SOL_Serbian_C11_F,10B,2011,female,Serbian,YES
SOL_Serbian_C11_P,10B,2011,all,Serbian,YES
